run,label,model,tp,pp,ep,mode,workload,input_len,output_len,concurrency,completed,failed,output_tok_per_s,ttft_s_p50,ttft_s_p95,itl_ms_p50,itl_ms_p95,itl_ms_mean,total_output_tokens,total_input_tokens,wire_tx_bytes,wire_rx_bytes,bytes_per_output_token,bytes_per_total_token,pred_bytes_per_token,pred_tp_bytes,pred_ep_bytes,pred_pp_bytes,is_moe,gpu_util_mean,net_gbps_mean,net_gbps_peak,net_burstiness,net_samples,hw_out_of_sequence,hw_packet_seq_err,hw_local_ack_timeout_err,hw_np_cnp_sent,hw_rp_cnp_handled,hw_np_ecn_marked_roce_packets
p1_q30_pp4_dual_decode_in128_out1024_c1,q30_pp4,Qwen3-30B-A3B-Instruct-2507,1,4,0,dual,decode,128,1024,1,8,0,31.00131127780488,0.2015798700012965,0.20264832400062005,32.07511999971757,32.98606799944537,32.09231060092847,8192,968,428092128,428092120,52257.33984375,46734.948471615724,12288.0,0,0.0,12288,True,94.3424317617866,0.009,0.025,2.98,398,0,0,0,0,0,0
p1_q30_pp4_dual_decode_in128_out1024_c32,q30_pp4,Qwen3-30B-A3B-Instruct-2507,1,4,0,dual,decode,128,1024,32,64,0,797.3823655613014,0.1842452670007333,0.18572677799966186,39.94392999993579,47.04524599947035,39.996689821740695,65536,7744,1829737868,1829737868,27919.58416748047,24969.130294759827,12288.0,0,0.0,12288,True,95.1087962962963,0.068,0.218,3.2,213,0,0,0,0,0,0
p1_q30_pp4_dual_decode_in128_out1024_c8,q30_pp4,Qwen3-30B-A3B-Instruct-2507,1,4,0,dual,decode,128,1024,8,32,0,189.12310738389246,0.26831681600015145,0.37412390999998024,42.002254998806166,45.1737769999454,42.05155055657386,32768,3872,1009426312,1009426316,30805.246337890625,27549.844759825326,12288.0,0,0.0,12288,True,95.21753246753246,0.026,0.048,1.83,304,0,0,0,0,0,0
p1_q30_pp4_dual_prefill_in4096_out32_c1,q30_pp4,Qwen3-30B-A3B-Instruct-2507,1,4,0,dual,prefill,4096,32,1,8,0,27.33886748417431,0.13444807199994102,0.13469245700071042,33.44317699884414,34.738816000754014,33.427536004014215,256,31040,85546952,85546960,334167.78125,2733.478783231084,12288.0,0,0.0,12288,True,81.20588235294117,0.045,0.554,12.33,15,0,0,0,0,0,0
p1_q30_pp4_dual_prefill_in4096_out32_c8,q30_pp4,Qwen3-30B-A3B-Instruct-2507,1,4,0,dual,prefill,4096,32,8,32,0,145.3765613989508,0.271689133000109,0.37079470600110653,45.85055200004717,52.5067129983654,47.510064010084314,1024,124160,40623168,40623168,39671.0625,324.50766871165644,12288.0,0,0.0,12288,True,82.0,0.025,0.043,1.74,13,0,0,0,0,0,0
p1_q30_tp1_dual_decode_in128_out1024_c1,q30_tp1,Qwen3-30B-A3B-Instruct-2507,1,1,0,dual,decode,128,1024,1,8,0,32.25662916472127,0.1359937679999348,0.14249440399999003,30.913262000012764,32.61373200007256,30.899927538856346,8192,968,0,0,0.0,0.0,0.0,0,0.0,0,True,22.689526184538654,0.0,0.0,,395,0,0,0,0,0,0
p1_q30_tp1_dual_decode_in128_out1024_c32,q30_tp1,Qwen3-30B-A3B-Instruct-2507,1,1,0,dual,decode,128,1024,32,64,0,679.834059416885,0.25134446299989577,0.3025854840000193,47.044976000051975,53.60478800002966,46.84654794267779,65536,7744,0,0,0.0,0.0,0.0,0,0.0,0,True,23.776666666666667,0.0,0.0,,221,0,0,0,0,0,0
p1_q30_tp1_dual_decode_in128_out1024_c8,q30_tp1,Qwen3-30B-A3B-Instruct-2507,1,1,0,dual,decode,128,1024,8,32,0,199.0237866114513,0.18673582999986138,0.2443303720001495,39.780594999911045,44.18270399992252,40.039954098026655,32768,3872,0,0,0.0,0.0,0.0,0,0.0,0,True,23.757653061224488,0.0,0.0,,289,0,0,0,0,0,0
p1_q30_tp1_dual_prefill_in4096_out32_c1,q30_tp1,Qwen3-30B-A3B-Instruct-2507,1,1,0,dual,prefill,4096,32,1,8,0,29.741602249222833,0.07822102299996914,0.08077453500004594,32.21123499997702,34.034311999903366,32.18002156451542,256,31040,0,0,0.0,0.0,0.0,0,0.0,0,True,20.733333333333334,0.0,0.0,,14,0,0,0,0,0,0
p1_q30_tp1_dual_prefill_in4096_out32_c8,q30_tp1,Qwen3-30B-A3B-Instruct-2507,1,1,0,dual,prefill,4096,32,8,32,0,166.97963112112552,0.24188803400011238,0.24650625800018133,41.5613590000703,46.84011100016505,41.95458551411281,1024,124160,0,0,0.0,0.0,0.0,0,0.0,0,True,20.0,0.0,0.0,,11,0,0,0,0,0,0
p1_q30_tp2_dual_decode_in128_out1024_c1,q30_tp2,Qwen3-30B-A3B-Instruct-2507,2,1,0,dual,decode,128,1024,1,8,0,49.32124886856476,0.0843077770000491,0.0961052710003969,20.10660799987818,21.45867699982773,20.210620019550426,8192,968,27595590364,27595590360,3368602.3393554688,3012619.035371179,786432.0,786432,0.0,0,True,44.58828996282528,0.824,1.201,1.46,265,0,0,0,0,0,0
p1_q30_tp2_dual_decode_in128_out1024_c32,q30_tp2,Qwen3-30B-A3B-Instruct-2507,2,1,0,dual,decode,128,1024,32,64,0,886.0383159705915,0.22846851699978288,0.29807448800011116,35.98451399966507,40.81766599983894,35.8953800747037,65536,7744,99724118712,99724118708,1521669.2918701172,1360864.0653930132,786432.0,786432,0.0,0,True,45.88364779874214,5.051,11.93,2.36,156,0,0,0,0,0,0
p1_q30_tp2_dual_decode_in128_out1024_c8,q30_tp2,Qwen3-30B-A3B-Instruct-2507,2,1,0,dual,decode,128,1024,8,32,0,305.8752699374492,0.17607840199980274,0.19437529300012102,25.98995499965895,28.325034999852505,26.006505750794265,32768,3872,76605676224,76605676224,2337819.708984375,2090766.272489083,786432.0,786432,0.0,0,True,46.09974093264249,3.188,5.335,1.67,190,0,0,0,0,0,0
p1_q30_tp2_dual_prefill_in4096_out32_c1,q30_tp2,Qwen3-30B-A3B-Instruct-2507,2,1,0,dual,prefill,4096,32,1,8,0,45.32735597618407,0.06628171400006977,0.07615638700008276,20.627457999580656,21.73522100019909,20.615529923387136,256,31040,3232408328,3232408328,12626595.03125,103285.03093047034,786432.0,786432,0.0,0,True,36.18181818181818,2.56,18.215,7.12,10,0,0,0,0,0,0
p1_q30_tp2_dual_prefill_in4096_out32_c8,q30_tp2,Qwen3-30B-A3B-Instruct-2507,2,1,0,dual,prefill,4096,32,8,32,0,247.6477296484132,0.17811688499978118,0.18523567700003696,26.70302900014576,31.971764999980223,27.552474128025636,1024,124160,2712965240,2712965236,2649380.1171875,21671.82099948875,786432.0,786432,0.0,0,True,35.888888888888886,2.651,4.766,1.8,8,0,0,0,0,0,0
p1_q30_tp2_ep_dual_decode_in128_out1024_c1,q30_tp2_ep,Qwen3-30B-A3B-Instruct-2507,2,1,1,dual,decode,128,1024,1,8,0,44.649780435118,0.1172252500000468,0.123681456999293,22.209381000720896,24.10239399978309,22.307825855449632,8192,968,27417624416,27417624416,3346877.98046875,2993190.4384279475,1966080.0,393216,1572864.0,0,True,45.85971223021583,0.793,1.463,1.84,273,0,0,0,0,0,0
p1_q30_tp2_ep_dual_decode_in128_out1024_c32,q30_tp2_ep,Qwen3-30B-A3B-Instruct-2507,2,1,1,dual,decode,128,1024,32,64,0,846.9146833986244,0.26273825699990994,0.3140960270002324,37.641323999196175,42.50353800034645,37.541764634744574,65536,7744,99451954064,99451954060,1517516.3889160156,1357150.0281659388,1966080.0,393216,1572864.0,0,True,45.792397660818715,4.675,10.892,2.33,168,0,0,0,0,0,0
p1_q30_tp2_ep_dual_decode_in128_out1024_c8,q30_tp2_ep,Qwen3-30B-A3B-Instruct-2507,2,1,1,dual,decode,128,1024,8,32,0,280.4057777596315,0.17886114199973235,0.21516006299953006,28.352849999464524,31.189774999802466,28.374795359940077,32768,3872,76385175468,76385175472,2331090.5599365234,2084748.2387554585,1966080.0,393216,1572864.0,0,True,46.05094786729858,2.909,4.915,1.69,207,0,0,0,0,0,0
p1_q30_tp2_ep_dual_prefill_in4096_out32_c1,q30_tp2_ep,Qwen3-30B-A3B-Instruct-2507,2,1,1,dual,prefill,4096,32,1,8,0,40.294566090536726,0.07711387199924502,0.08968420100063668,23.078473000168742,24.52979099962249,23.113050762093177,256,31040,3225175772,3225175780,12598342.859375,103053.9293200409,1966080.0,393216,1572864.0,0,True,36.875,2.319,18.084,7.8,11,0,0,0,0,0,0
p1_q30_tp2_ep_dual_prefill_in4096_out32_c8,q30_tp2_ep,Qwen3-30B-A3B-Instruct-2507,2,1,1,dual,prefill,4096,32,8,32,0,233.93591015680747,0.19836428100006742,0.20280897299926437,28.618995000215364,35.141231999659794,29.16834463306189,1024,124160,2699746168,2699746164,2636470.8671875,21566.22386247444,1966080.0,393216,1572864.0,0,True,31.8,2.373,4.405,1.86,9,0,0,0,0,0,0
p1_q30_tp2pp2_dual_decode_in128_out1024_c1,q30_tp2pp2,Qwen3-30B-A3B-Instruct-2507,2,2,0,dual,decode,128,1024,1,8,0,47.023473009586475,0.08664267699987249,0.08962473399969895,21.138347000487556,22.209998999642266,21.201949777003815,8192,968,28050847956,28050847964,3424175.7758789062,3062319.6458515283,790528.0,786432,0.0,4096,True,87.9290780141844,0.798,1.0,1.25,278,0,0,0,0,0,0
p1_q30_tp2pp2_dual_decode_in128_out1024_c32,q30_tp2pp2,Qwen3-30B-A3B-Instruct-2507,2,2,0,dual,decode,128,1024,32,64,0,864.8868633014982,0.2339866290003556,0.27925943300033396,36.82972500064352,41.583506999813835,36.78618403170818,65536,7744,101477843124,101477843120,1548429.002746582,1384795.8941593887,790528.0,786432,0.0,4096,True,92.49912232076866,4.958,11.531,2.33,162,0,0,0,0,0,0
p1_q30_tp2pp2_dual_decode_in128_out1024_c8,q30_tp2pp2,Qwen3-30B-A3B-Instruct-2507,2,2,0,dual,decode,128,1024,8,32,0,295.4560634239269,0.1794462529996963,0.18772338700000546,26.876911000726977,29.171030999350478,26.93019648900301,32768,3872,77381310240,77381310240,2361490.1806640625,2111935.323144105,790528.0,786432,0.0,4096,True,93.065,3.107,5.137,1.65,197,0,0,0,0,0,0
p1_q30_tp2pp2_dual_prefill_in4096_out32_c1,q30_tp2pp2,Qwen3-30B-A3B-Instruct-2507,2,2,0,dual,prefill,4096,32,1,8,0,43.35649600613132,0.06996368700129096,0.07280701299896464,21.565652999925078,22.506536999571836,21.546495955648897,256,31040,3292190804,3292190800,12860120.328125,105195.25830777096,790528.0,786432,0.0,4096,True,69.97727272727273,2.584,18.579,7.19,10,0,0,0,0,0,0
p1_q30_tp2pp2_dual_prefill_in4096_out32_c8,q30_tp2pp2,Qwen3-30B-A3B-Instruct-2507,2,2,0,dual,prefill,4096,32,8,32,0,230.43444772054852,0.19011852000039653,0.21230483200088202,28.541973000756116,32.61192900026799,29.644960545360554,1024,124160,2765902164,2765902168,2701076.33203125,22094.693922546012,790528.0,786432,0.0,4096,True,66.33333333333333,2.442,4.647,1.9,8,0,0,0,0,0,0
p1_q30_tp2pp2_ep_dual_decode_in128_out1024_c1,q30_tp2pp2_ep,Qwen3-30B-A3B-Instruct-2507,2,2,1,dual,decode,128,1024,1,8,0,42.11082152444198,0.10660203299994464,0.11146530599944526,23.558884999147267,25.138957000308437,23.665326970429987,8192,968,28075569612,28075569604,3427193.5561523438,3065018.5165938865,1970176.0,393216,1572864.0,4096,True,92.50929054054055,0.761,0.924,1.21,292,0,0,0,0,0,0
p1_q30_tp2pp2_ep_dual_decode_in128_out1024_c32,q30_tp2pp2_ep,Qwen3-30B-A3B-Instruct-2507,2,2,1,dual,decode,128,1024,32,64,0,810.4768313900666,0.24699943700034055,0.26475078799921903,39.307536999331205,44.59847799989802,39.272061683452435,65536,7744,101505573544,101505573536,1548852.1353759766,1385174.3114628822,1970176.0,393216,1572864.0,4096,True,93.01527777777778,4.538,10.882,2.4,177,0,0,0,0,0,0
p1_q30_tp2pp2_ep_dual_decode_in128_out1024_c8,q30_tp2pp2_ep,Qwen3-30B-A3B-Instruct-2507,2,2,1,dual,decode,128,1024,8,32,0,266.19598006552644,0.18241704499996558,0.19802821399935056,29.82770000016899,32.620256999507546,29.904223362475527,32768,3872,77488002536,77488002544,2364746.171142578,2114847.230786026,1970176.0,393216,1572864.0,4096,True,92.99722255888176,2.798,4.664,1.67,219,0,0,0,0,0,0
p1_q30_tp2pp2_ep_dual_prefill_in4096_out32_c1,q30_tp2pp2_ep,Qwen3-30B-A3B-Instruct-2507,2,2,1,dual,prefill,4096,32,1,8,0,38.835104970440526,0.07801181600007112,0.08066147600038676,24.005567000131123,25.50010199956887,24.088750858863342,256,31040,3293191432,3293191432,12864029.03125,105227.2313394683,1970176.0,393216,1572864.0,4096,True,73.52083333333333,2.352,18.583,7.9,11,0,0,0,0,0,0
p1_q30_tp2pp2_ep_dual_prefill_in4096_out32_c8,q30_tp2pp2_ep,Qwen3-30B-A3B-Instruct-2507,2,2,1,dual,prefill,4096,32,8,32,0,227.2160285123842,0.198687139998583,0.20432967800115875,29.834441000275547,32.721350000429084,30.16138301612984,1024,124160,2741176164,2741176164,2676929.84765625,21897.176667944786,1970176.0,393216,1572864.0,4096,True,69.15,2.408,4.286,1.78,9,0,0,0,0,0,0
p1_q30_tp4_dual_decode_in128_out1024_c1,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,dual,decode,128,1024,1,8,0,64.6301137693253,0.06788488399979542,0.07990214200071932,15.113191999262199,20.101920001252438,15.420826416911167,8192,968,96682243828,96682243832,11802031.717285156,10554830.112227075,2359296.0,2359296,0.0,0,True,89.18205128205128,3.984,7.061,1.77,192,0,0,0,0,0,0
p1_q30_tp4_dual_decode_in128_out1024_c32,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,dual,decode,128,1024,32,64,0,1192.006859732454,0.24535388100048294,0.253023798999493,26.281346999894595,31.112344999201014,26.630356538734166,65536,7744,435569899552,435569899560,6646269.219238281,5943912.384716157,2359296.0,2359296,0.0,0,True,90.42768595041322,28.946,63.968,2.21,119,0,0,0,0,0,0
p1_q30_tp4_dual_decode_in128_out1024_c8,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,dual,decode,128,1024,8,32,0,400.14524428800536,0.1515578309990815,0.16240242200001376,19.176648998836754,25.620488000640762,19.86736337105936,32768,3872,240523141492,240523141484,7340183.761352539,6564496.219759826,2359296.0,2359296,0.0,0,True,90.35204081632654,13.121,21.807,1.66,145,0,0,0,0,0,0
p1_q30_tp4_dual_prefill_in4096_out32_c1,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,dual,prefill,4096,32,1,8,0,59.01787960171124,0.06385626500014041,0.07315244900019024,15.399219999380875,16.352022999853943,15.391312786299926,256,31040,10544083624,10544083616,41187826.65625,336914.7374744376,2359296.0,2359296,0.0,0,True,69.33333333333333,10.362,57.837,5.58,8,0,0,0,0,0,0
p1_q30_tp4_dual_prefill_in4096_out32_c8,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,dual,prefill,4096,32,8,32,0,306.7866961347607,0.1632535180015111,0.2057414320006501,20.39920999959577,23.67319199947815,21.29434637096357,1024,124160,8712180412,8712180416,8507988.68359375,69594.99945679959,2359296.0,2359296,0.0,0,True,59.0,9.851,18.74,1.9,7,0,0,0,0,0,0
p1_q30_tp4_ep_dual_decode_in128_out1024_c1,q30_tp4_ep,Qwen3-30B-A3B-Instruct-2507,4,1,1,dual,decode,128,1024,1,8,0,55.14396367929558,0.07833121200019377,0.08705690700116975,18.05206800054293,19.159192999723018,18.07484746994146,8192,968,96359280664,96359280668,11762607.502929688,10519572.12489083,3538944.0,1179648,2359296.0,0,True,90.1068281938326,3.416,4.441,1.3,223,0,0,0,0,0,0
p1_q30_tp4_ep_dual_decode_in128_out1024_c32,q30_tp4_ep,Qwen3-30B-A3B-Instruct-2507,4,1,1,dual,decode,128,1024,32,64,0,1063.3392441816266,0.25213959100074135,0.27120698200087645,29.817683998771827,32.58024299975659,29.8707045019701,65536,7744,435991387896,435991387900,6652700.62097168,5949664.136135371,3538944.0,1179648,2359296.0,0,True,91.15398550724638,25.38,56.22,2.22,135,0,0,0,0,0,0
p1_q30_tp4_ep_dual_decode_in128_out1024_c8,q30_tp4_ep,Qwen3-30B-A3B-Instruct-2507,4,1,1,dual,decode,128,1024,8,32,0,352.6870577416035,0.15410803299891995,0.19793356300033338,22.426751998864347,24.358282000321196,22.547023285709898,32768,3872,240080495312,240080495312,7326675.271972656,6552415.265065502,3538944.0,1179648,2359296.0,0,True,90.83529411764707,11.372,18.583,1.63,167,0,0,0,0,0,0
p1_q30_tp4_ep_dual_prefill_in4096_out32_c1,q30_tp4_ep,Qwen3-30B-A3B-Instruct-2507,4,1,1,dual,prefill,4096,32,1,8,0,50.069956021398035,0.07269682600053784,0.07613693900020735,18.342074999964098,19.2996799996763,18.326763967736277,256,31040,10533295600,10533295600,41145685.9375,336570.0281186094,3538944.0,1179648,2359296.0,0,True,66.575,9.187,58.006,6.31,9,0,0,0,0,0,0
p1_q30_tp4_ep_dual_prefill_in4096_out32_c8,q30_tp4_ep,Qwen3-30B-A3B-Instruct-2507,4,1,1,dual,prefill,4096,32,8,32,0,282.3504050573398,0.19167570600075123,0.21171178999975382,22.906881999006146,25.416877999305143,23.23003888810791,1024,124160,8632371916,8632371912,8430050.69921875,68957.46993225972,3538944.0,1179648,2359296.0,0,True,60.625,8.974,16.811,1.87,7,0,0,0,0,0,0
p1_q30_tp4_tcp_decode_in128_out1024_c1,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,tcp,decode,128,1024,1,8,0,11.537008879235641,0.1429641709983116,0.15435137999884319,84.62789899203926,136.92521798657253,86.62625704092905,8192,968,0,0,0.0,0.0,2359296.0,2359296,0.0,0,True,95.4617278424351,0.0,0.0,,1105,0,0,0,0,0,0
p1_q30_tp4_tcp_decode_in128_out1024_c32,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,tcp,decode,128,1024,32,64,0,174.86491210335336,0.9228644050017465,0.9822476639965316,185.85256100050174,208.94749299623072,182.25873538424085,65536,7744,0,0,0.0,0.0,2359296.0,2359296,0.0,0,True,95.58461002785515,0.0,0.0,,710,0,0,0,0,0,0
p1_q30_tp4_tcp_decode_in128_out1024_c8,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,tcp,decode,128,1024,8,32,0,66.00811079754689,0.42381111400027294,0.4908704780100379,120.64052200003061,157.93986100470647,120.90294586791441,32768,3872,0,0,0.0,0.0,2359296.0,2359296,0.0,0,True,95.51802884615385,0.0,0.0,,823,0,0,0,0,0,0
p1_q30_tp4_tcp_prefill_in4096_out32_c1,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,tcp,prefill,4096,32,1,8,0,11.724354436237084,0.13043731499055866,0.14123386699066032,78.62827900680713,139.00473499961663,83.89361732253982,256,31040,0,0,0.0,0.0,2359296.0,2359296,0.0,0,True,89.7875,0.0,0.0,,39,0,0,0,0,0,0
p1_q30_tp4_tcp_prefill_in4096_out32_c8,q30_tp4,Qwen3-30B-A3B-Instruct-2507,4,1,0,tcp,prefill,4096,32,8,32,0,73.84351299803163,0.3915142170008039,0.40134348400169984,94.71927399863489,148.61974499945063,99.60624568146804,1024,124160,0,0,0.0,0.0,2359296.0,2359296,0.0,0,True,86.47321428571428,0.0,0.0,,27,0,0,0,0,0,0
